"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:03:34 UTC 2024","Wed Mar 27 08:03:35 UTC 2024","1806","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscribe, C1539668",""
"passed","Wed Mar 27 08:03:24 UTC 2024","Wed Mar 27 08:03:28 UTC 2024","4082","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/contact, C1539675",""
"passed","Wed Mar 27 08:03:48 UTC 2024","Wed Mar 27 08:03:51 UTC 2024","2299","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscribe, C1539668",""
"passed","Wed Mar 27 08:03:49 UTC 2024","Wed Mar 27 08:03:49 UTC 2024","456","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/windows, C1539669",""
"passed","Wed Mar 27 08:03:47 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","7052","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/upgradeToPrivacyBundle, C1539670",""
"passed","Wed Mar 27 08:03:55 UTC 2024","Wed Mar 27 08:03:55 UTC 2024","500","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/android, C1539669",""
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","1127","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/windows, C1539669",""
"passed","Wed Mar 27 08:03:24 UTC 2024","Wed Mar 27 08:03:33 UTC 2024","9751","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net, C1538764",""
"passed","Wed Mar 27 08:03:30 UTC 2024","Wed Mar 27 08:03:30 UTC 2024","780","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/windows, C1539669",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","418","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","1116","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/upgradeToPrivacyBundle, C1539670",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:28 UTC 2024","681","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:29 UTC 2024","697","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:35 UTC 2024","1217","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:48 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","192","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:49 UTC 2024","Wed Mar 27 08:03:49 UTC 2024","201","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:55 UTC 2024","732","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/windows, C1539669",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","2113","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscription, C1539672",""
"passed","Wed Mar 27 08:03:24 UTC 2024","Wed Mar 27 08:03:33 UTC 2024","9005","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org, C1538764",""
"passed","Wed Mar 27 08:03:34 UTC 2024","Wed Mar 27 08:03:34 UTC 2024","455","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/linux, C1539669",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","290","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:45 UTC 2024","Wed Mar 27 08:03:46 UTC 2024","1040","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/windows, C1539669",""
"passed","Wed Mar 27 08:03:48 UTC 2024","Wed Mar 27 08:03:49 UTC 2024","508","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/linux, C1539669",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:46 UTC 2024","2990","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscribe, C1539668",""
"passed","Wed Mar 27 08:03:42 UTC 2024","Wed Mar 27 08:03:50 UTC 2024","7396","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/contact, C1539675",""
"passed","Wed Mar 27 08:03:39 UTC 2024","Wed Mar 27 08:03:40 UTC 2024","1504","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscription, C1539672",""
"passed","Wed Mar 27 08:03:29 UTC 2024","Wed Mar 27 08:03:30 UTC 2024","741","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:46 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","2354","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/macos, C1539669",""
"passed","Wed Mar 27 08:03:50 UTC 2024","Wed Mar 27 08:03:50 UTC 2024","252","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","340","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:34 UTC 2024","359","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","579","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:40 UTC 2024","Wed Mar 27 08:03:40 UTC 2024","768","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:39 UTC 2024","277","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:35 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","2509","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscribe, C1539668",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:40 UTC 2024","1473","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscription, C1539672",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","381","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:40 UTC 2024","Wed Mar 27 08:03:41 UTC 2024","419","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","197","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/client/feedback, C1539670",""
"passed","Wed Mar 27 08:03:51 UTC 2024","Wed Mar 27 08:03:51 UTC 2024","594","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/windows, C1539669",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:33 UTC 2024","6","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:36 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","303","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/android, C1539669",""
"passed","Wed Mar 27 08:03:44 UTC 2024","Wed Mar 27 08:03:45 UTC 2024","516","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:51 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","2338","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/macos, C1539669",""
"passed","Wed Mar 27 08:03:50 UTC 2024","Wed Mar 27 08:03:51 UTC 2024","496","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:49 UTC 2024","Wed Mar 27 08:03:49 UTC 2024","237","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/android, C1539669",""
"passed","Wed Mar 27 08:03:44 UTC 2024","Wed Mar 27 08:03:44 UTC 2024","186","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:51 UTC 2024","Wed Mar 27 08:03:53 UTC 2024","2667","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/client/feedback, C1539670",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","432","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/linux, C1539669",""
"passed","Wed Mar 27 08:03:36 UTC 2024","Wed Mar 27 08:03:37 UTC 2024","655","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/linux, C1539669",""
"passed","Wed Mar 27 08:03:46 UTC 2024","Wed Mar 27 08:03:47 UTC 2024","811","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/client/feedback, C1539670",""
"passed","Wed Mar 27 08:03:42 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","6194","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org, C1538764",""
"passed","Wed Mar 27 08:03:35 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","2373","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/client/feedback, C1539670",""
"passed","Wed Mar 27 08:03:30 UTC 2024","Wed Mar 27 08:03:31 UTC 2024","1715","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/windows, C1539669",""
"passed","Wed Mar 27 08:03:30 UTC 2024","Wed Mar 27 08:03:34 UTC 2024","3551","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/download/macos, C1539669",""
"passed","Wed Mar 27 08:03:24 UTC 2024","Wed Mar 27 08:03:28 UTC 2024","4051","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/contact, C1539675",""
"passed","Wed Mar 27 08:03:53 UTC 2024","Wed Mar 27 08:03:54 UTC 2024","486","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/upgradeToPrivacyBundle, C1539670",""
"passed","Wed Mar 27 08:03:54 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","2068","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscription, C1539672",""
"passed","Wed Mar 27 08:03:31 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","4632","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/macos, C1539669",""
"passed","Wed Mar 27 08:03:33 UTC 2024","Wed Mar 27 08:03:33 UTC 2024","694","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:39 UTC 2024","Wed Mar 27 08:03:44 UTC 2024","4588","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/contact, C1539675",""
"passed","Wed Mar 27 08:03:40 UTC 2024","Wed Mar 27 08:03:41 UTC 2024","525","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:41 UTC 2024","Wed Mar 27 08:03:41 UTC 2024","503","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","191","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/upgradeToPrivacyBundle, C1539670",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","285","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/account, C1539671",""
"passed","Wed Mar 27 08:03:37 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","5515","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net, C1538764",""
"passed","Wed Mar 27 08:03:36 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","669","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:29 UTC 2024","Wed Mar 27 08:03:30 UTC 2024","637","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/download/linux, C1539669",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","365","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/subscriptionBlocked, C1539674",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:43 UTC 2024","7","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > redirects for https://stage.guardian.nonprod.cloudops.mozgcp.net origin","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/invite, C1539666",""
"passed","Wed Mar 27 08:03:34 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","1310","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > download redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/update/windows, C1539669",""
"passed","Wed Mar 27 08:03:55 UTC 2024","Wed Mar 27 08:03:55 UTC 2024","198","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","153","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/ios, C1539669",""
"passed","Wed Mar 27 08:03:57 UTC 2024","Wed Mar 27 08:03:57 UTC 2024","403","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/support, C1539673",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:29 UTC 2024","635","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:43 UTC 2024","Wed Mar 27 08:03:44 UTC 2024","258","firefox","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:48 UTC 2024","Wed Mar 27 08:03:48 UTC 2024","179","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > redirects for https://vpn.mozilla.org origin","","","Verify redirect for https://vpn.mozilla.org/r/vpn/invite/success, C1539667",""
"passed","Wed Mar 27 08:03:50 UTC 2024","Wed Mar 27 08:03:50 UTC 2024","139","firefox","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > Misc redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/, C1539677",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:28 UTC 2024","596","chromium","stage - Version: 1.0.0, Commit: undefined","stage - guardian redirects > Misc redirects","","","Verify redirect for https://stage.guardian.nonprod.cloudops.mozgcp.net/r/vpn/terms, C1539676",""
"passed","Wed Mar 27 08:03:38 UTC 2024","Wed Mar 27 08:03:38 UTC 2024","277","chromium","prod - Version: 1.0.0, Commit: undefined","prod - guardian redirects > download redirects","","","Verify redirect for https://vpn.mozilla.org/r/vpn/update/android, C1539669",""
